eval,J,J_nonqs,J_iota,J_mr,residual_norm,major_radius,iota,lsq_nfev,best_J,boozer_norm,normal_norm,pressure_norm,jump_norm,sheet_current_norm
5.900000000000000000e+01,3.638518434644789218e-03,3.638518434644789218e-03,0.000000000000000000e+00,2.465190328815661892e-32,1.958636517361492638e-15,1.471417940459596618e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.958341140454747526e-15,3.401447754624265469e-17,0.000000000000000000e+00,7.849317383382740291e-21,6.246288307312523938e-15
6.000000000000000000e+01,3.638518436534551002e-03,3.638518436534551002e-03,0.000000000000000000e+00,8.874685183736382811e-31,2.005147362491292883e-15,1.471417940459595508e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,2.004774975415494938e-15,3.864250499097615514e-17,0.000000000000000000e+00,7.849317326811748528e-21,6.246288262294760377e-15
6.100000000000000000e+01,3.638518437394493328e-03,3.638518437394493328e-03,0.000000000000000000e+00,2.465190328815661892e-32,2.000161711785872850e-15,1.471417940459596618e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.999804742558670158e-15,3.778709928577043144e-17,0.000000000000000000e+00,7.849317318400196834e-21,6.246288255601060237e-15
6.200000000000000000e+01,3.638518435713159003e-03,3.638518435713159003e-03,0.000000000000000000e+00,1.577721810442023611e-30,1.971623875478902438e-15,1.471417940459595064e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.971247282174867753e-15,3.853386582000048194e-17,0.000000000000000000e+00,7.849317258404432185e-21,6.246288207857946331e-15
6.300000000000000000e+01,3.638518439834208858e-03,3.638518439834208858e-03,0.000000000000000000e+00,9.860761315262647568e-32,1.964319919393993061e-15,1.471417940459597284e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.963780357765196565e-15,4.603750777364525734e-17,0.000000000000000000e+00,7.849317585309758719e-21,6.246288468000939156e-15
6.400000000000000000e+01,3.638518448765591402e-03,3.638518448765573187e-03,0.000000000000000000e+00,1.816740480881616379e-17,1.977171417673699559e-15,1.471417934431760610e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.976658352245310299e-15,4.503968586779435399e-17,0.000000000000000000e+00,7.849317292431485590e-21,6.246288234935815417e-15
6.500000000000000000e+01,3.638518358888926697e-03,3.638518358888926697e-03,0.000000000000000000e+00,8.027069216269934158e-20,1.976580651375217020e-15,1.471417940058920681e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.976065016154486389e-15,4.514557851699513312e-17,0.000000000000000000e+00,7.849317295493792443e-21,6.246288237372722716e-15
6.600000000000000000e+01,3.638518450153012396e-03,3.638518450153012396e-03,0.000000000000000000e+00,5.564293662607081626e-22,1.971406680184204964e-15,1.471417940492956378e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.970873375635586217e-15,4.585232626689082057e-17,0.000000000000000000e+00,7.849317232908241834e-21,6.246288187568723105e-15
6.700000000000000000e+01,3.638518449241273829e-03,3.638518449241261252e-03,0.000000000000000000e+00,1.250001095029587016e-17,2.000275760187502582e-15,1.471417935459594650e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.999705222565754297e-15,4.777174452882126778e-17,0.000000000000000000e+00,7.849317360350712605e-21,6.246288288984218808e-15
6.800000000000000000e+01,3.638518432442053828e-03,3.638518432442053828e-03,0.000000000000000000e+00,2.465190328815661892e-32,1.989076592603571315e-15,1.471417940459596618e+00,-3.099999999999938360e-01,1.000000000000000000e+00,3.638518435890079547e-03,1.988679768211273522e-15,3.972997217438052137e-17,0.000000000000000000e+00,7.849317324545819726e-21,6.246288260491590008e-15
