eval,J,J_nonqs,J_res,J_iota,J_mr,J_beta,J_surface_reg,weighted_residual_norm,iota,major_radius,target_plasma_beta,achieved_plasma_beta,reference_magnetic_pressure,pressure_jump,boozer_norm,normal_norm,pressure_norm,jump_norm,sheet_current_norm
1.500000000000000000e+01,2.899318110606639820e+01,1.894200225952593630e-01,2.853368562430206978e+01,6.922565856656193346e-03,2.581295197781345307e-01,2.337357772516935800e-05,4.999999956552925173e-03,7.554294887585745855e+00,-4.589260835508251479e-01,2.179944938390805387e+00,2.999999999999999889e-02,2.783789094978216319e-02,5.107476063502858160e+05,1.532242819050857361e+04,2.846902597529291055e-14,4.385925331036340857e+00,3.751289139683768870e+00,4.874306107505817387e+00,1.194354611675477028e+07
1.600000000000000000e+01,2.899318069528231945e+01,1.894200568498512205e-01,2.853368522671541641e+01,6.922523594217930808e-03,2.581295145803338964e-01,2.337359316308866233e-05,4.999999949339325664e-03,7.554294834955201488e+00,-4.589257243753571136e-01,2.179944931156684085e+00,2.999999999999999889e-02,2.783789023576097379e-02,5.107476076327100163e+05,1.532242822898129998e+04,2.512753898028316384e-14,4.385925224514403808e+00,3.751289147525416201e+00,4.874306115751980251e+00,1.194354635595899262e+07
1.700000000000000000e+01,2.899318118366146280e+01,1.894201123319338709e-01,2.853368572326470698e+01,6.922458773269557150e-03,2.581295157178246646e-01,2.337361893863099382e-05,4.999999954785639203e-03,7.554294900685928127e+00,-4.589251734799174587e-01,2.179944932739804830e+00,2.999999999999999889e-02,2.783788904361357910e-02,5.107476066059662262e+05,1.532242819817898635e+04,2.895713080387134071e-14,4.385925400984231004e+00,3.751288918793498794e+00,4.874306234867464838e+00,1.194354691549034230e+07
1.800000000000000000e+01,2.899318107689197888e+01,1.894200880582910806e-01,2.853368561158886507e+01,6.922487884809034805e-03,2.581295157880810209e-01,2.337361092362518660e-05,4.999999961010449800e-03,7.554294885902835155e+00,-4.589254208912161848e-01,2.179944932837585281e+00,2.999999999999999889e-02,2.783788941431640865e-02,5.107476056263996288e+05,1.532242816879198836e+04,2.396947477629421318e-14,4.385925221393192075e+00,3.751289190476127189e+00,4.874306164465028068e+00,1.194354666056192107e+07
1.900000000000000000e+01,1.109342184517931429e+01,2.588190194653314583e-02,1.096344327117399509e+01,3.992011116731859766e-02,6.327485070917981957e-02,3.457013884350145839e-04,5.560087938516608194e-04,4.682615352807444786e+00,-6.238208674058591807e-01,1.817171503191932658e+00,2.999999999999999889e-02,3.831506330024028739e-02,6.704823115357210627e+05,2.011446934607162984e+04,1.858355493214638985e-14,3.204382175014341527e+00,2.680159844522249646e+00,2.115553030913860155e+00,1.387575905684746569e+06
2.000000000000000000e+01,1.109314346800464257e+01,2.588424742365317069e-02,1.096342556679516811e+01,3.965904972958399916e-02,6.327485425103168692e-02,3.437409983436030304e-04,5.560088068613758695e-04,4.682611571931878380e+00,-6.228954372825842301e-01,1.817171513148275075e+00,2.999999999999999889e-02,3.829145341111681033e-02,6.704823051964938641e+05,2.011446915589481432e+04,1.712989607909256862e-14,3.205069266551169527e+00,2.679778929325296932e+00,2.114986293133752415e+00,1.385536944710738258e+06
2.100000000000000000e+01,1.109313616550074144e+01,2.588431600399467361e-02,1.096342579487845725e+01,3.965150895860823643e-02,6.327485447321408440e-02,3.436823855160604747e-04,5.560088009521183027e-04,4.682611620640442673e+00,-6.228686610022188264e-01,1.817171513772842140e+00,2.999999999999999889e-02,3.829074647442629736e-02,6.704823091292168247e+05,2.011446927387650430e+04,1.380373963646187582e-14,3.205090812808002898e+00,2.679765703119046272e+00,2.114970507547925926e+00,1.385476306747731753e+06
2.200000000000000000e+01,1.109313585384232148e+01,2.588431640276268181e-02,1.096342560026104174e+01,3.965139389453990054e-02,6.327485366411098044e-02,3.436808261642837568e-04,5.560087937006312400e-04,4.682611579078717945e+00,-6.228682524052100433e-01,1.817171511498408387e+00,2.999999999999999889e-02,3.829072766606506778e-02,6.704823114249933278e+05,2.011446934274979867e+04,1.673164607762370359e-14,3.205091559338134832e+00,2.679765298968735721e+00,2.114969796291316761e+00,1.385474199575488223e+06
2.300000000000000000e+01,1.109313593953920751e+01,2.588431643029432197e-02,1.096342585256848245e+01,3.965122802028348686e-02,6.327485396267308604e-02,3.436797628257344376e-04,5.560087946484059762e-04,4.682611632960496095e+00,-6.228676633781919936e-01,1.817171512337683037e+00,2.999999999999999889e-02,3.829071484041918216e-02,6.704823123421283672e+05,2.011446937026385058e+04,1.597704693959398918e-14,3.205092004795523142e+00,2.679765167248533420e+00,2.114969407422767844e+00,1.385472935860159108e+06
2.400000000000000000e+01,1.109313443084035278e+01,2.588431922424104872e-02,1.096342445399669430e+01,3.965111291008663330e-02,6.327485566789339821e-02,3.436802620750569305e-04,5.560087793633970406e-04,4.682611334287033245e+00,-6.228672546159308432e-01,1.817171517131151992e+00,2.999999999999999889e-02,3.829072086220561277e-02,6.704823163230228238e+05,2.011446948969068399e+04,1.486513206980972502e-14,3.205091615180442055e+00,2.679764547583670886e+00,2.114970121729169428e+00,1.385473873810463119e+06
